,block_number,from_address,to_address,isERC20
20331817,9177302,0x0000000000b3f879cb30fe243b4dfee438691c04,0xca7b9d0e53b1b7dd7764d900f34f697396a9542e,False
41805661,12491806,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0xe61379ddbab39cce771d3bd6097f7a1cbd43cf7f,False
44519388,12668583,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xe9c61cba2a1b02fa9599f81b2e577ed9a8180d9b,False
32706178,11056841,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0683fc01e4fa7a10d976c809521136230e96cf0e,False
37288053,11648871,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x7cf9e3d3b867477aaa6cc1fd054532942d5487d0,False
45656952,12761534,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xc048699954db157b493753e15f1957cdb812e280,False
41154790,12371167,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x687a56889fa763531395c1895674c31e4a7485ac,False
38093480,11832522,0x000000000000006f6502b7f2bbac8c30a3f67e9a,0x2f4ae5664f197e28f312f00e73b317a59ff23937,False
41287823,12402310,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x0de8a256552b4f05461dacf3aeb46674b232d811,False
6142061,5415097,0x0000000000b3f879cb30fe243b4dfee438691c04,0x727e4e96dcf15b45108802ec4273a1fddce0a10f,False
26182421,10206072,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x7dea2565b3a46ed438a09e33f064942c70a7e86d,False
31166907,10898656,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x236a8261cfbc34490f73e61d2d381beb236da23f,False
35831292,11348426,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x10636012710c98c0296b2e071c1a1b978d5793a1,False
41037110,12353390,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xe4809537bd898231bb2df7fea251adf983f5c724,False
9793786,6754655,0x4f01001cf69785d4c37f03fd87398849411ccbba,0x4df0376160ab36379667be47ac8ac9746cae8b8c,False
31188339,10903839,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x839e6479c153502a097f03f00cfd521deea89082,False
34913929,11235281,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x482d9e9fbbc3c07ababaf02afb6d645bbb5b4576,False
43643479,12605431,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x3087c236fdf013830bef4c7e242a86655643cf56,False
36855112,11503875,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0xe3150a4b95f4b64207fd5c4ec3295da5a1acb877,False
29106434,10652759,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x38c1c41c2de9c2b66f926f9eed907bea53c60008,False
